"id","func_name","func_description","assert_text","gt_harness_assertions","suggested_taxonomy","your_taxonomy","notes"
"P011","aws_linked_list_push_back","appends a node to the back of a doubly-linked list","aws_linked_list_node_next_is_valid(&_arg_)","assert(aws_linked_list_is_valid(&list)); | assert(aws_linked_list_node_prev_is_valid(&to_add)); | assert(aws_linked_list_node_next_is_valid(&to_add)); | assert(list.tail.prev == &to_add); | assert(to_add.prev == old_last);","validity_predicate","",""
"P012","aws_linked_list_push_back","appends a node to the back of a doubly-linked list","list.tail.prev == &to_add","assert(aws_linked_list_is_valid(&list)); | assert(aws_linked_list_node_prev_is_valid(&to_add)); | assert(aws_linked_list_node_next_is_valid(&to_add)); | assert(list.tail.prev == &to_add); | assert(to_add.prev == old_last);","validity_predicate","",""
"P013","aws_linked_list_push_back","appends a node to the back of a doubly-linked list","to_add.prev == old_last","assert(aws_linked_list_is_valid(&list)); | assert(aws_linked_list_node_prev_is_valid(&to_add)); | assert(aws_linked_list_node_next_is_valid(&to_add)); | assert(list.tail.prev == &to_add); | assert(to_add.prev == old_last);","validity_predicate","",""
"P014","aws_add_size_saturating","adds two size_t values; saturates at SIZE_MAX on overflow","r == uint64_max","assert(r == UINT64_MAX); | assert(r == a + b); | assert(r == UINT32_MAX); | assert(r == a + b);","validity_predicate","",""
"P015","aws_add_size_saturating","adds two size_t values; saturates at SIZE_MAX on overflow","r == a + b","assert(r == UINT64_MAX); | assert(r == a + b); | assert(r == UINT32_MAX); | assert(r == a + b);","validity_predicate","",""
"P016","aws_add_size_saturating","adds two size_t values; saturates at SIZE_MAX on overflow","r == uint32_max","assert(r == UINT64_MAX); | assert(r == a + b); | assert(r == UINT32_MAX); | assert(r == a + b);","validity_predicate","",""
"P017","aws_add_size_saturating","adds two size_t values; saturates at SIZE_MAX on overflow","r == a + b","assert(r == UINT64_MAX); | assert(r == a + b); | assert(r == UINT32_MAX); | assert(r == a + b);","validity_predicate","",""
"P018","aws_mul_size_checked","multiplies two size_t values; returns error if overflow","r == a * b","assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b)); | assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b));","validity_predicate","",""
"P019","aws_mul_size_checked","multiplies two size_t values; returns error if overflow","__cprover_overflow_mult(a, b)","assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b)); | assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b));","validity_predicate","",""
"P020","aws_mul_size_checked","multiplies two size_t values; returns error if overflow","r == a * b","assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b)); | assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b));","validity_predicate","",""
"P021","aws_mul_size_checked","multiplies two size_t values; returns error if overflow","__cprover_overflow_mult(a, b)","assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b)); | assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b));","validity_predicate","",""
"P022","aws_mul_size_saturating","multiplies two size_t values; saturates at SIZE_MAX","r == uint64_max","assert(r == UINT64_MAX); | assert(r == a * b); | assert(r == UINT32_MAX); | assert(r == a * b);","validity_predicate","",""
"P023","aws_mul_size_saturating","multiplies two size_t values; saturates at SIZE_MAX","r == a * b","assert(r == UINT64_MAX); | assert(r == a * b); | assert(r == UINT32_MAX); | assert(r == a * b);","validity_predicate","",""
"P024","aws_mul_size_saturating","multiplies two size_t values; saturates at SIZE_MAX","r == uint32_max","assert(r == UINT64_MAX); | assert(r == a * b); | assert(r == UINT32_MAX); | assert(r == a * b);","validity_predicate","",""
"P025","aws_mul_size_saturating","multiplies two size_t values; saturates at SIZE_MAX","r == a * b","assert(r == UINT64_MAX); | assert(r == a * b); | assert(r == UINT32_MAX); | assert(r == a * b);","validity_predicate","",""
"P026","aws_round_up_to_power_of_two","rounds a size_t up to the nearest power of two","popcount == 1","assert(popcount == 1); | assert(test_val <= result); | assert(test_val >= result >> 1); | assert(test_val > ((SIZE_MAX >> 1) + 1));","validity_predicate","",""
"P027","aws_round_up_to_power_of_two","rounds a size_t up to the nearest power of two","test_val <= result","assert(popcount == 1); | assert(test_val <= result); | assert(test_val >= result >> 1); | assert(test_val > ((SIZE_MAX >> 1) + 1));","validity_predicate","",""
"P028","aws_round_up_to_power_of_two","rounds a size_t up to the nearest power of two","test_val >= result >> 1","assert(popcount == 1); | assert(test_val <= result); | assert(test_val >= result >> 1); | assert(test_val > ((SIZE_MAX >> 1) + 1));","validity_predicate","",""
"P029","aws_round_up_to_power_of_two","rounds a size_t up to the nearest power of two","test_val > ((size_max >> 1) + 1)","assert(popcount == 1); | assert(test_val <= result); | assert(test_val >= result >> 1); | assert(test_val > ((SIZE_MAX >> 1) + 1));","validity_predicate","",""
"P030","aws_byte_buf_from_empty_array","aws byte buf from empty array","input array [bytes] must be writable up to [capacity] bytes.","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == 0); | assert(buf.capacity == capacity); | assert(buf.allocator == NULL);","validity_predicate","",""
"P031","aws_byte_buf_from_empty_array","aws byte buf from empty array","aws_byte_buf_is_valid(&_arg_)","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == 0); | assert(buf.capacity == capacity); | assert(buf.allocator == NULL);","validity_predicate","",""
"P032","aws_byte_buf_from_empty_array","aws byte buf from empty array","buf.len == 0","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == 0); | assert(buf.capacity == capacity); | assert(buf.allocator == NULL);","length_invariant","",""
"P033","aws_byte_buf_from_empty_array","aws byte buf from empty array","buf.capacity == capacity","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == 0); | assert(buf.capacity == capacity); | assert(buf.allocator == NULL);","length_invariant","",""
"P034","aws_byte_buf_from_empty_array","aws byte buf from empty array","buf.allocator == null","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == 0); | assert(buf.capacity == capacity); | assert(buf.allocator == NULL);","validity_predicate","",""
"P035","aws_byte_cursor_advance","aws byte cursor advance","aws_byte_cursor_is_valid(&_arg_)","assert(aws_byte_cursor_is_valid(&rv)); | assert(rv.ptr == NULL); | assert(rv.len == 0); | assert(rv.ptr == old.ptr); | assert(rv.len == len); | assert(cursor.ptr == old.ptr + len); | assert(cursor.ptr == NULL); | assert(cursor.len == old.len - len);","validity_predicate","",""
"P036","aws_byte_cursor_advance","aws byte cursor advance","rv.ptr == null","assert(aws_byte_cursor_is_valid(&rv)); | assert(rv.ptr == NULL); | assert(rv.len == 0); | assert(rv.ptr == old.ptr); | assert(rv.len == len); | assert(cursor.ptr == old.ptr + len); | assert(cursor.ptr == NULL); | assert(cursor.len == old.len - len);","validity_predicate","",""
"P037","aws_byte_cursor_advance","aws byte cursor advance","rv.len == 0","assert(aws_byte_cursor_is_valid(&rv)); | assert(rv.ptr == NULL); | assert(rv.len == 0); | assert(rv.ptr == old.ptr); | assert(rv.len == len); | assert(cursor.ptr == old.ptr + len); | assert(cursor.ptr == NULL); | assert(cursor.len == old.len - len);","length_invariant","",""
"P038","aws_byte_cursor_advance","aws byte cursor advance","rv.ptr == old.ptr","assert(aws_byte_cursor_is_valid(&rv)); | assert(rv.ptr == NULL); | assert(rv.len == 0); | assert(rv.ptr == old.ptr); | assert(rv.len == len); | assert(cursor.ptr == old.ptr + len); | assert(cursor.ptr == NULL); | assert(cursor.len == old.len - len);","frame_condition","",""
"P039","aws_byte_cursor_advance","aws byte cursor advance","rv.len == len","assert(aws_byte_cursor_is_valid(&rv)); | assert(rv.ptr == NULL); | assert(rv.len == 0); | assert(rv.ptr == old.ptr); | assert(rv.len == len); | assert(cursor.ptr == old.ptr + len); | assert(cursor.ptr == NULL); | assert(cursor.len == old.len - len);","length_invariant","",""
"P040","aws_array_list_front","returns pointer to first element of a dynamic array list","aws_bytes_eq(val, list.data, list.item_size)","assert(AWS_BYTES_EQ(val, list.data, list.item_size)); | assert(list.data); | assert(list.length); | assert(aws_array_list_is_valid(&list));","validity_predicate","",""
"P041","aws_array_list_front","returns pointer to first element of a dynamic array list","list.data","assert(AWS_BYTES_EQ(val, list.data, list.item_size)); | assert(list.data); | assert(list.length); | assert(aws_array_list_is_valid(&list));","validity_predicate","",""
"P042","aws_array_list_front","returns pointer to first element of a dynamic array list","list.length","assert(AWS_BYTES_EQ(val, list.data, list.item_size)); | assert(list.data); | assert(list.length); | assert(aws_array_list_is_valid(&list));","length_invariant","",""
"P043","aws_array_list_front","returns pointer to first element of a dynamic array list","aws_array_list_is_valid(&_arg_)","assert(AWS_BYTES_EQ(val, list.data, list.item_size)); | assert(list.data); | assert(list.length); | assert(aws_array_list_is_valid(&list));","validity_predicate","",""
"P044","aws_array_list_swap","swaps two elements in a dynamic array list by index","!list.length","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.length == old.length); | assert(list.item_size == old.item_size);","length_invariant","",""
"P045","aws_array_list_swap","swaps two elements in a dynamic array list by index","!list.length","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.length == old.length); | assert(list.item_size == old.item_size);","length_invariant","",""
"P046","aws_array_list_swap","swaps two elements in a dynamic array list by index","aws_array_list_is_valid(&_arg_)","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.length == old.length); | assert(list.item_size == old.item_size);","validity_predicate","",""
"P047","aws_array_list_swap","swaps two elements in a dynamic array list by index","list.alloc == old.alloc","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.length == old.length); | assert(list.item_size == old.item_size);","frame_condition","",""
"P048","aws_array_list_swap","swaps two elements in a dynamic array list by index","list.current_size == old.current_size","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.length == old.length); | assert(list.item_size == old.item_size);","frame_condition","",""
"P049","aws_is_power_of_two","aws is power of two","rval == (popcount == 1)","assert(rval == (popcount == 1));","validity_predicate","",""
"P050","aws_byte_buf_from_array","aws byte buf from array","input array [bytes] must be writable up to [len] bytes.","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == length); | assert(buf.capacity == length); | assert(buf.allocator == NULL);","validity_predicate","",""
"P051","aws_byte_buf_from_array","aws byte buf from array","aws_byte_buf_is_valid(&_arg_)","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == length); | assert(buf.capacity == length); | assert(buf.allocator == NULL);","validity_predicate","",""
"P052","aws_byte_buf_from_array","aws byte buf from array","buf.len == length","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == length); | assert(buf.capacity == length); | assert(buf.allocator == NULL);","length_invariant","",""
"P053","aws_byte_buf_from_array","aws byte buf from array","buf.capacity == length","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == length); | assert(buf.capacity == length); | assert(buf.allocator == NULL);","length_invariant","",""
"P054","aws_byte_buf_from_array","aws byte buf from array","buf.allocator == null","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == length); | assert(buf.capacity == length); | assert(buf.allocator == NULL);","validity_predicate","",""
"P055","aws_byte_buf_eq","aws byte buf eq","lhs.len == rhs.len","assert(lhs.len == rhs.len); | assert(aws_byte_buf_is_valid(&lhs)); | assert(aws_byte_buf_is_valid(&rhs));","length_invariant","",""
"P056","aws_array_list_length","aws array list length","!list.length","assert(aws_array_list_is_valid(&list));","length_invariant","",""
"P057","aws_array_list_length","aws array list length","aws_array_list_is_valid(&_arg_)","assert(aws_array_list_is_valid(&list));","validity_predicate","",""
"P058","aws_array_list_capacity","aws array list capacity","list.item_size check failed","assert(aws_array_list_is_valid(&list)); | assert(capacity == list.current_size / list.item_size);","length_invariant","",""
"P059","aws_array_list_capacity","aws array list capacity","aws_array_list_is_valid(&_arg_)","assert(aws_array_list_is_valid(&list)); | assert(capacity == list.current_size / list.item_size);","validity_predicate","",""
"P060","aws_array_list_capacity","aws array list capacity","capacity == list.current_size / list.item_size","assert(aws_array_list_is_valid(&list)); | assert(capacity == list.current_size / list.item_size);","length_invariant","",""
"P061","aws_array_list_init_static","aws array list init static","list.current_size == initial_item_allocation * item_size","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == NULL); | assert(list.item_size == item_size); | assert(list.length == 0); | assert(list.current_size == initial_item_allocation * item_size);","length_invariant","",""
"P062","aws_array_list_set_at","aws array list set at","list.length == index + 1","assert(list.length == index + 1); | assert(aws_array_list_is_valid(&list));","length_invariant","",""
"P063","aws_byte_buf_cat","aws byte buf cat","(old_dest.capacity - old_dest.len) >= (buffer1.len + buffer2.len + buffer3.len)","assert((old_dest.capacity - old_dest.len) >= (buffer1.len + buffer2.len + buffer3.len)); | assert((old_dest.capacity - old_dest.len) < (buffer1.len + buffer2.len + buffer3.len)); | assert(aws_byte_buf_is_valid(&buffer1)); | assert(aws_byte_buf_is_valid(&buffer2)); | assert(aws_byte_buf_is_valid(&buffer3)); | assert(aws_byte_buf_is_valid(&dest));","length_invariant","",""
"P064","aws_byte_buf_cat","aws byte buf cat","(old_dest.capacity - old_dest.len) < (buffer1.len + buffer2.len + buffer3.len)","assert((old_dest.capacity - old_dest.len) >= (buffer1.len + buffer2.len + buffer3.len)); | assert((old_dest.capacity - old_dest.len) < (buffer1.len + buffer2.len + buffer3.len)); | assert(aws_byte_buf_is_valid(&buffer1)); | assert(aws_byte_buf_is_valid(&buffer2)); | assert(aws_byte_buf_is_valid(&buffer3)); | assert(aws_byte_buf_is_valid(&dest));","length_invariant","",""
"P065","aws_array_list_pop_back","removes and optionally returns the last element","list.length == old.length - 1","assert(list.length == old.length - 1); | assert(list.data); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(aws_array_list_is_valid(&list));","length_invariant","",""
"P066","aws_array_list_pop_back","removes and optionally returns the last element","list.data","assert(list.length == old.length - 1); | assert(list.data); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(aws_array_list_is_valid(&list));","validity_predicate","",""
"P067","aws_array_list_pop_back","removes and optionally returns the last element","list.alloc == old.alloc","assert(list.length == old.length - 1); | assert(list.data); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(aws_array_list_is_valid(&list));","frame_condition","",""
"P068","aws_array_list_pop_back","removes and optionally returns the last element","list.current_size == old.current_size","assert(list.length == old.length - 1); | assert(list.data); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(aws_array_list_is_valid(&list));","frame_condition","",""
"P069","aws_array_list_pop_back","removes and optionally returns the last element","list.item_size == old.item_size","assert(list.length == old.length - 1); | assert(list.data); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(aws_array_list_is_valid(&list));","frame_condition","",""
"P070","aws_byte_buf_append","appends bytes from cursor into a byte buffer","old_to.len == to.len","assert(to.len == to_old.len + from.len); | assert(to_old.len == to.len); | assert(aws_byte_buf_is_valid(&to)); | assert(aws_byte_cursor_is_valid(&from)); | assert(to_old.allocator == to.allocator); | assert(to_old.capacity == to.capacity); | assert(from_old.len == from.len);","frame_condition","",""
"P071","aws_byte_buf_append","appends bytes from cursor into a byte buffer","old_to.allocator == to.allocator","assert(to.len == to_old.len + from.len); | assert(to_old.len == to.len); | assert(aws_byte_buf_is_valid(&to)); | assert(aws_byte_cursor_is_valid(&from)); | assert(to_old.allocator == to.allocator); | assert(to_old.capacity == to.capacity); | assert(from_old.len == from.len);","frame_condition","",""
"P072","aws_byte_buf_append","appends bytes from cursor into a byte buffer","old_to.capacity == to.capacity","assert(to.len == to_old.len + from.len); | assert(to_old.len == to.len); | assert(aws_byte_buf_is_valid(&to)); | assert(aws_byte_cursor_is_valid(&from)); | assert(to_old.allocator == to.allocator); | assert(to_old.capacity == to.capacity); | assert(from_old.len == from.len);","frame_condition","",""
"P073","aws_byte_buf_append","appends bytes from cursor into a byte buffer","old_from.len == from.len","assert(to.len == to_old.len + from.len); | assert(to_old.len == to.len); | assert(aws_byte_buf_is_valid(&to)); | assert(aws_byte_cursor_is_valid(&from)); | assert(to_old.allocator == to.allocator); | assert(to_old.capacity == to.capacity); | assert(from_old.len == from.len);","frame_condition","",""
"P074","aws_array_list_clear","aws array list clear","aws_array_list_is_valid(&_arg_)","assert(aws_array_list_is_valid(&list)); | assert(list.length == 0); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(list.data == old.data);","validity_predicate","",""
"P075","aws_array_list_clear","aws array list clear","list.length == 0","assert(aws_array_list_is_valid(&list)); | assert(list.length == 0); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(list.data == old.data);","length_invariant","",""
"P076","aws_array_list_clear","aws array list clear","list.alloc == old.alloc","assert(aws_array_list_is_valid(&list)); | assert(list.length == 0); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(list.data == old.data);","frame_condition","",""
"P077","aws_array_list_clear","aws array list clear","list.current_size == old.current_size","assert(aws_array_list_is_valid(&list)); | assert(list.length == 0); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(list.data == old.data);","frame_condition","",""
"P078","aws_array_list_clear","aws array list clear","list.item_size == old.item_size","assert(aws_array_list_is_valid(&list)); | assert(list.length == 0); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(list.data == old.data);","frame_condition","",""
"P079","aws_array_list_init_dynamic","aws array list init dynamic","list.alloc == allocator","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == allocator); | assert(list.item_size == item_size); | assert(list.length == 0); | assert(list.current_size == item_size * initial_item_allocation); | assert(AWS_IS_ZEROED(list));","validity_predicate","",""
"P080","aws_array_list_init_dynamic","aws array list init dynamic","list.current_size == item_size * initial_item_allocation","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == allocator); | assert(list.item_size == item_size); | assert(list.length == 0); | assert(list.current_size == item_size * initial_item_allocation); | assert(AWS_IS_ZEROED(list));","length_invariant","",""
"P081","aws_array_list_init_dynamic","aws array list init dynamic","aws_is_zeroed(list)","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == allocator); | assert(list.item_size == item_size); | assert(list.length == 0); | assert(list.current_size == item_size * initial_item_allocation); | assert(AWS_IS_ZEROED(list));","validity_predicate","",""
"P082","aws_byte_buf_advance","aws byte buf advance","buf.len == old.len + len","assert(buf.len == old.len + len); | assert(buf.capacity == old.capacity); | assert(buf.allocator == old.allocator); | assert(output.len == 0); | assert(output.capacity == len); | assert(output.allocator == NULL); | assert(output.len == 0); | assert(output.capacity == 0);","length_invariant","",""
"P083","aws_byte_buf_advance","aws byte buf advance","buf.capacity == old.capacity","assert(buf.len == old.len + len); | assert(buf.capacity == old.capacity); | assert(buf.allocator == old.allocator); | assert(output.len == 0); | assert(output.capacity == len); | assert(output.allocator == NULL); | assert(output.len == 0); | assert(output.capacity == 0);","frame_condition","",""
"P084","aws_byte_buf_advance","aws byte buf advance","buf.allocator == old.allocator","assert(buf.len == old.len + len); | assert(buf.capacity == old.capacity); | assert(buf.allocator == old.allocator); | assert(output.len == 0); | assert(output.capacity == len); | assert(output.allocator == NULL); | assert(output.len == 0); | assert(output.capacity == 0);","frame_condition","",""
"P085","aws_byte_buf_clean_up_secure","aws byte buf clean up secure","buf.allocator == null","assert(buf.allocator == NULL); | assert(buf.buffer == NULL); | assert(buf.len == 0); | assert(buf.capacity == 0);","validity_predicate","",""
"P086","aws_byte_buf_init_copy","aws byte buf init copy","allocator check failed","assert(aws_byte_buf_is_valid(dest)); | assert(aws_byte_buf_has_allocator(dest)); | assert(dest->len == src.len); | assert(dest->capacity == src.capacity); | assert(aws_byte_buf_is_valid(&src));","validity_predicate","",""
"P087","aws_byte_buf_init_copy","aws byte buf init copy","dest check failed","assert(aws_byte_buf_is_valid(dest)); | assert(aws_byte_buf_has_allocator(dest)); | assert(dest->len == src.len); | assert(dest->capacity == src.capacity); | assert(aws_byte_buf_is_valid(&src));","validity_predicate","",""
"P088","aws_byte_buf_init_copy","aws byte buf init copy","aws_byte_buf_is_valid(dest)","assert(aws_byte_buf_is_valid(dest)); | assert(aws_byte_buf_has_allocator(dest)); | assert(dest->len == src.len); | assert(dest->capacity == src.capacity); | assert(aws_byte_buf_is_valid(&src));","validity_predicate","",""
"P089","aws_byte_buf_init_copy","aws byte buf init copy","aws_byte_buf_has_allocator(dest)","assert(aws_byte_buf_is_valid(dest)); | assert(aws_byte_buf_has_allocator(dest)); | assert(dest->len == src.len); | assert(dest->capacity == src.capacity); | assert(aws_byte_buf_is_valid(&src));","validity_predicate","",""
"P090","aws_byte_buf_init_copy","aws byte buf init copy","dest.len == src.len","assert(aws_byte_buf_is_valid(dest)); | assert(aws_byte_buf_has_allocator(dest)); | assert(dest->len == src.len); | assert(dest->capacity == src.capacity); | assert(aws_byte_buf_is_valid(&src));","length_invariant","",""
"P091","aws_linked_list_swap_contents","swaps all contents between two linked lists","list check failed","assert(aws_linked_list_is_valid(&a)); | assert(aws_linked_list_is_valid(&b)); | assert(old_b.tail.prev == old_b_head); | assert(a.head.next == old_b.head.next); | assert(a.tail.prev == old_b.tail.prev); | assert(old_a.tail.prev == old_a_head); | assert(b.head.next == old_a.head.next); | assert(b.tail.prev == old_a.tail.prev);","validity_predicate","",""
"P092","aws_linked_list_swap_contents","swaps all contents between two linked lists","old_b.tail.prev == old_b_head","assert(aws_linked_list_is_valid(&a)); | assert(aws_linked_list_is_valid(&b)); | assert(old_b.tail.prev == old_b_head); | assert(a.head.next == old_b.head.next); | assert(a.tail.prev == old_b.tail.prev); | assert(old_a.tail.prev == old_a_head); | assert(b.head.next == old_a.head.next); | assert(b.tail.prev == old_a.tail.prev);","validity_predicate","",""
"P093","aws_linked_list_swap_contents","swaps all contents between two linked lists","a.head.next == old_b.head.next","assert(aws_linked_list_is_valid(&a)); | assert(aws_linked_list_is_valid(&b)); | assert(old_b.tail.prev == old_b_head); | assert(a.head.next == old_b.head.next); | assert(a.tail.prev == old_b.tail.prev); | assert(old_a.tail.prev == old_a_head); | assert(b.head.next == old_a.head.next); | assert(b.tail.prev == old_a.tail.prev);","validity_predicate","",""
"P094","aws_linked_list_swap_contents","swaps all contents between two linked lists","a.tail.prev == old_b.tail.prev","assert(aws_linked_list_is_valid(&a)); | assert(aws_linked_list_is_valid(&b)); | assert(old_b.tail.prev == old_b_head); | assert(a.head.next == old_b.head.next); | assert(a.tail.prev == old_b.tail.prev); | assert(old_a.tail.prev == old_a_head); | assert(b.head.next == old_a.head.next); | assert(b.tail.prev == old_a.tail.prev);","validity_predicate","",""
"P095","aws_linked_list_swap_contents","swaps all contents between two linked lists","list check failed","assert(aws_linked_list_is_valid(&a)); | assert(aws_linked_list_is_valid(&b)); | assert(old_b.tail.prev == old_b_head); | assert(a.head.next == old_b.head.next); | assert(a.tail.prev == old_b.tail.prev); | assert(old_a.tail.prev == old_a_head); | assert(b.head.next == old_a.head.next); | assert(b.tail.prev == old_a.tail.prev);","validity_predicate","",""
"P096","aws_ring_buffer_release","releases a previously acquired ring buffer slice","aws_ring_buffer_is_valid(&_arg_)","assert(aws_ring_buffer_is_valid(&ring_buf)); | assert(ring_buf.allocator == ring_buf_old.allocator); | assert(ring_buf.allocation == ring_buf_old.allocation); | assert(new_head == old_head); | assert(new_tail == buf_old.buffer + buf_old.capacity); | assert(ring_buf.allocation_end == ring_buf_old.allocation_end); | assert(buf.allocator == NULL); | assert(buf.buffer == NULL);","validity_predicate","",""
"P097","aws_ring_buffer_release","releases a previously acquired ring buffer slice","ring_buf.allocator == ring_buf_old.allocator","assert(aws_ring_buffer_is_valid(&ring_buf)); | assert(ring_buf.allocator == ring_buf_old.allocator); | assert(ring_buf.allocation == ring_buf_old.allocation); | assert(new_head == old_head); | assert(new_tail == buf_old.buffer + buf_old.capacity); | assert(ring_buf.allocation_end == ring_buf_old.allocation_end); | assert(buf.allocator == NULL); | assert(buf.buffer == NULL);","frame_condition","",""
"P098","aws_ring_buffer_release","releases a previously acquired ring buffer slice","ring_buf.allocation == ring_buf_old.allocation","assert(aws_ring_buffer_is_valid(&ring_buf)); | assert(ring_buf.allocator == ring_buf_old.allocator); | assert(ring_buf.allocation == ring_buf_old.allocation); | assert(new_head == old_head); | assert(new_tail == buf_old.buffer + buf_old.capacity); | assert(ring_buf.allocation_end == ring_buf_old.allocation_end); | assert(buf.allocator == NULL); | assert(buf.buffer == NULL);","frame_condition","",""
"P099","aws_ring_buffer_release","releases a previously acquired ring buffer slice","new_head == old_head","assert(aws_ring_buffer_is_valid(&ring_buf)); | assert(ring_buf.allocator == ring_buf_old.allocator); | assert(ring_buf.allocation == ring_buf_old.allocation); | assert(new_head == old_head); | assert(new_tail == buf_old.buffer + buf_old.capacity); | assert(ring_buf.allocation_end == ring_buf_old.allocation_end); | assert(buf.allocator == NULL); | assert(buf.buffer == NULL);","frame_condition","",""
