"id","func_name","func_description","assert_text","gt_harness_assertions","suggested_taxonomy","claude_taxonomy","claude_disagrees_with_auto","claude_reasoning","your_taxonomy","notes"
"P019","aws_mul_size_checked","multiplies two size_t values; returns error if overflow","__cprover_overflow_mult(a, b)","assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b)); | assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b));","validity_predicate","validity_predicate","","CBMC overflow built-in","",""
"P020","aws_mul_size_checked","multiplies two size_t values; returns error if overflow","r == a * b","assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b)); | assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b));","validity_predicate","validity_predicate","","result = a*b","",""
"P021","aws_mul_size_checked","multiplies two size_t values; returns error if overflow","__cprover_overflow_mult(a, b)","assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b)); | assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b));","validity_predicate","validity_predicate","","CBMC overflow built-in","",""
"P022","aws_mul_size_saturating","multiplies two size_t values; saturates at SIZE_MAX","r == uint64_max","assert(r == UINT64_MAX); | assert(r == a * b); | assert(r == UINT32_MAX); | assert(r == a * b);","validity_predicate","validity_predicate","","saturation u64","",""
"P023","aws_mul_size_saturating","multiplies two size_t values; saturates at SIZE_MAX","r == a * b","assert(r == UINT64_MAX); | assert(r == a * b); | assert(r == UINT32_MAX); | assert(r == a * b);","validity_predicate","validity_predicate","","result non-overflow","",""
"P024","aws_mul_size_saturating","multiplies two size_t values; saturates at SIZE_MAX","r == uint32_max","assert(r == UINT64_MAX); | assert(r == a * b); | assert(r == UINT32_MAX); | assert(r == a * b);","validity_predicate","validity_predicate","","saturation u32","",""
"P025","aws_mul_size_saturating","multiplies two size_t values; saturates at SIZE_MAX","r == a * b","assert(r == UINT64_MAX); | assert(r == a * b); | assert(r == UINT32_MAX); | assert(r == a * b);","validity_predicate","validity_predicate","","result non-overflow","",""
"P026","aws_round_up_to_power_of_two","rounds a size_t up to the nearest power of two","popcount == 1","assert(popcount == 1); | assert(test_val <= result); | assert(test_val >= result >> 1); | assert(test_val > ((SIZE_MAX >> 1) + 1));","length_invariant","validity_predicate","YES","popcount is bit-count result, not a len/capacity field; auto says length","",""
"P027","aws_round_up_to_power_of_two","rounds a size_t up to the nearest power of two","test_val <= result","assert(popcount == 1); | assert(test_val <= result); | assert(test_val >= result >> 1); | assert(test_val > ((SIZE_MAX >> 1) + 1));","validity_predicate","validity_predicate","","result >= input","",""
"P028","aws_round_up_to_power_of_two","rounds a size_t up to the nearest power of two","test_val >= result >> 1","assert(popcount == 1); | assert(test_val <= result); | assert(test_val >= result >> 1); | assert(test_val > ((SIZE_MAX >> 1) + 1));","validity_predicate","validity_predicate","","result < 2*input","",""
"P029","aws_round_up_to_power_of_two","rounds a size_t up to the nearest power of two","test_val > ((size_max >> 1) + 1)","assert(popcount == 1); | assert(test_val <= result); | assert(test_val >= result >> 1); | assert(test_val > ((SIZE_MAX >> 1) + 1));","validity_predicate","validity_predicate","","overflow boundary check on input","",""
"P030","aws_byte_buf_from_empty_array","aws byte buf from empty array","input array [bytes] must be writable up to [capacity] bytes.","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == 0); | assert(buf.capacity == capacity); | assert(buf.allocator == NULL);","validity_predicate","validity_predicate","","CBMC memory writability precondition","",""
"P031","aws_byte_buf_from_empty_array","aws byte buf from empty array","aws_byte_buf_is_valid(&_arg_)","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == 0); | assert(buf.capacity == capacity); | assert(buf.allocator == NULL);","validity_predicate","validity_predicate","","named validity predicate","",""
"P032","aws_byte_buf_from_empty_array","aws byte buf from empty array","buf.len == 0","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == 0); | assert(buf.capacity == capacity); | assert(buf.allocator == NULL);","length_invariant","length_invariant","","buf.len == 0 after init","",""
"P033","aws_byte_buf_from_empty_array","aws byte buf from empty array","buf.capacity == capacity","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == 0); | assert(buf.capacity == capacity); | assert(buf.allocator == NULL);","length_invariant","length_invariant","","buf.capacity == input capacity","",""
"P034","aws_byte_buf_from_empty_array","aws byte buf from empty array","buf.allocator == null","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == 0); | assert(buf.capacity == capacity); | assert(buf.allocator == NULL);","frame_condition","validity_predicate","YES","allocator SET TO null for static buffer; auto says frame","",""
"P035","aws_byte_cursor_advance","aws byte cursor advance","aws_byte_cursor_is_valid(&_arg_)","assert(aws_byte_cursor_is_valid(&rv)); | assert(rv.ptr == NULL); | assert(rv.len == 0); | assert(rv.ptr == old.ptr); | assert(rv.len == len); | assert(cursor.ptr == old.ptr + len); | assert(cursor.ptr == NULL); | assert(cursor.len == old.len - len);","validity_predicate","validity_predicate","","named validity predicate","",""
"P036","aws_byte_cursor_advance","aws byte cursor advance","rv.ptr == null","assert(aws_byte_cursor_is_valid(&rv)); | assert(rv.ptr == NULL); | assert(rv.len == 0); | assert(rv.ptr == old.ptr); | assert(rv.len == len); | assert(cursor.ptr == old.ptr + len); | assert(cursor.ptr == NULL); | assert(cursor.len == old.len - len);","validity_predicate","validity_predicate","","ptr == null (advance past end case)","",""
"P037","aws_byte_cursor_advance","aws byte cursor advance","rv.len == 0","assert(aws_byte_cursor_is_valid(&rv)); | assert(rv.ptr == NULL); | assert(rv.len == 0); | assert(rv.ptr == old.ptr); | assert(rv.len == len); | assert(cursor.ptr == old.ptr + len); | assert(cursor.ptr == NULL); | assert(cursor.len == old.len - len);","length_invariant","length_invariant","","len == 0","",""
"P038","aws_byte_cursor_advance","aws byte cursor advance","rv.ptr == old.ptr","assert(aws_byte_cursor_is_valid(&rv)); | assert(rv.ptr == NULL); | assert(rv.len == 0); | assert(rv.ptr == old.ptr); | assert(rv.len == len); | assert(cursor.ptr == old.ptr + len); | assert(cursor.ptr == NULL); | assert(cursor.len == old.len - len);","frame_condition","frame_condition","","ptr == old.ptr: pointer unchanged","",""
"P039","aws_byte_cursor_advance","aws byte cursor advance","rv.len == len","assert(aws_byte_cursor_is_valid(&rv)); | assert(rv.ptr == NULL); | assert(rv.len == 0); | assert(rv.ptr == old.ptr); | assert(rv.len == len); | assert(cursor.ptr == old.ptr + len); | assert(cursor.ptr == NULL); | assert(cursor.len == old.len - len);","length_invariant","length_invariant","","len == input len","",""
"P040","aws_array_list_front","returns pointer to first element of a dynamic array list","aws_bytes_eq(val, list.data, list.item_size)","assert(AWS_BYTES_EQ(val, list.data, list.item_size)); | assert(list.data); | assert(list.length); | assert(aws_array_list_is_valid(&list));","length_invariant","validity_predicate","YES","bytes_eq checks VALUE equality not length; auto says length","",""
"P041","aws_array_list_front","returns pointer to first element of a dynamic array list","list.data","assert(AWS_BYTES_EQ(val, list.data, list.item_size)); | assert(list.data); | assert(list.length); | assert(aws_array_list_is_valid(&list));","validity_predicate","validity_predicate","","list.data non-null","",""
"P042","aws_array_list_front","returns pointer to first element of a dynamic array list","list.length","assert(AWS_BYTES_EQ(val, list.data, list.item_size)); | assert(list.data); | assert(list.length); | assert(aws_array_list_is_valid(&list));","length_invariant","length_invariant","","list.length truthy/non-zero","",""
"P043","aws_array_list_front","returns pointer to first element of a dynamic array list","aws_array_list_is_valid(&_arg_)","assert(AWS_BYTES_EQ(val, list.data, list.item_size)); | assert(list.data); | assert(list.length); | assert(aws_array_list_is_valid(&list));","validity_predicate","validity_predicate","","named validity predicate","",""
"P044","aws_array_list_swap","swaps two elements in a dynamic array list by index","!list.length","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.length == old.length); | assert(list.item_size == old.item_size);","length_invariant","length_invariant","","length check (negated)","",""
"P045","aws_array_list_swap","swaps two elements in a dynamic array list by index","!list.length","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.length == old.length); | assert(list.item_size == old.item_size);","length_invariant","length_invariant","","length check (negated)","",""
"P046","aws_array_list_swap","swaps two elements in a dynamic array list by index","aws_array_list_is_valid(&_arg_)","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.length == old.length); | assert(list.item_size == old.item_size);","validity_predicate","validity_predicate","","named validity predicate","",""
"P047","aws_array_list_swap","swaps two elements in a dynamic array list by index","list.alloc == old.alloc","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.length == old.length); | assert(list.item_size == old.item_size);","frame_condition","frame_condition","","list.alloc == old.alloc: unchanged","",""
"P048","aws_array_list_swap","swaps two elements in a dynamic array list by index","list.current_size == old.current_size","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.length == old.length); | assert(list.item_size == old.item_size);","frame_condition","frame_condition","","current_size == old: unchanged","",""
"P049","aws_is_power_of_two","aws is power of two","rval == (popcount == 1)","assert(rval == (popcount == 1));","length_invariant","validity_predicate","YES","return value correctness; auto says length_invariant","",""
"P050","aws_byte_buf_from_array","aws byte buf from array","input array [bytes] must be writable up to [len] bytes.","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == length); | assert(buf.capacity == length); | assert(buf.allocator == NULL);","length_invariant","validity_predicate","","CBMC writability precondition","",""
"P051","aws_byte_buf_from_array","aws byte buf from array","aws_byte_buf_is_valid(&_arg_)","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == length); | assert(buf.capacity == length); | assert(buf.allocator == NULL);","validity_predicate","validity_predicate","","named validity predicate","",""
"P052","aws_byte_buf_from_array","aws byte buf from array","buf.len == length","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == length); | assert(buf.capacity == length); | assert(buf.allocator == NULL);","length_invariant","length_invariant","","buf.len == input length","",""
"P053","aws_byte_buf_from_array","aws byte buf from array","buf.capacity == length","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == length); | assert(buf.capacity == length); | assert(buf.allocator == NULL);","length_invariant","length_invariant","","buf.capacity == input length","",""
"P054","aws_byte_buf_from_array","aws byte buf from array","buf.allocator == null","assert(aws_byte_buf_is_valid(&buf)); | assert(buf.len == length); | assert(buf.capacity == length); | assert(buf.allocator == NULL);","frame_condition","validity_predicate","YES","allocator SET TO null; auto says frame","",""
"P055","aws_byte_buf_eq","aws byte buf eq","lhs.len == rhs.len","assert(lhs.len == rhs.len); | assert(aws_byte_buf_is_valid(&lhs)); | assert(aws_byte_buf_is_valid(&rhs));","length_invariant","length_invariant","","lhs.len == rhs.len","",""
"P056","aws_array_list_length","aws array list length","!list.length","assert(aws_array_list_is_valid(&list));","length_invariant","length_invariant","","length field","",""
"P057","aws_array_list_length","aws array list length","aws_array_list_is_valid(&_arg_)","assert(aws_array_list_is_valid(&list));","validity_predicate","validity_predicate","","named validity predicate","",""
"P058","aws_array_list_capacity","aws array list capacity","list.item_size check failed","assert(aws_array_list_is_valid(&list)); | assert(capacity == list.current_size / list.item_size);","length_invariant","length_invariant","","item_size is a size field","",""
"P059","aws_array_list_capacity","aws array list capacity","aws_array_list_is_valid(&_arg_)","assert(aws_array_list_is_valid(&list)); | assert(capacity == list.current_size / list.item_size);","validity_predicate","validity_predicate","","named validity predicate","",""
"P060","aws_array_list_capacity","aws array list capacity","capacity == list.current_size / list.item_size","assert(aws_array_list_is_valid(&list)); | assert(capacity == list.current_size / list.item_size);","length_invariant","length_invariant","","capacity = current_size / item_size","",""
"P061","aws_array_list_init_static","aws array list init static","list.current_size == initial_item_allocation * item_size","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == NULL); | assert(list.item_size == item_size); | assert(list.length == 0); | assert(list.current_size == initial_item_allocation * item_size);","length_invariant","length_invariant","","current_size = item_size * allocation","",""
"P062","aws_array_list_set_at","aws array list set at","list.length == index + 1","assert(list.length == index + 1); | assert(aws_array_list_is_valid(&list));","length_invariant","length_invariant","","length == index+1 after set","",""
"P063","aws_byte_buf_cat","aws byte buf cat","(old_dest.capacity - old_dest.len) >= (buffer1.len + buffer2.len + buffer3.len)","assert((old_dest.capacity - old_dest.len) >= (buffer1.len + buffer2.len + buffer3.len)); | assert((old_dest.capacity - old_dest.len) < (buffer1.len + buffer2.len + buffer3.len)); | assert(aws_byte_buf_is_valid(&buffer1)); | assert(aws_byte_buf_is_valid(&buffer2)); | assert(aws_byte_buf_is_valid(&buffer3)); | assert(aws_byte_buf_is_valid(&dest));","length_invariant","length_invariant","","capacity-space >= total input size","",""
"P064","aws_byte_buf_cat","aws byte buf cat","(old_dest.capacity - old_dest.len) < (buffer1.len + buffer2.len + buffer3.len)","assert((old_dest.capacity - old_dest.len) >= (buffer1.len + buffer2.len + buffer3.len)); | assert((old_dest.capacity - old_dest.len) < (buffer1.len + buffer2.len + buffer3.len)); | assert(aws_byte_buf_is_valid(&buffer1)); | assert(aws_byte_buf_is_valid(&buffer2)); | assert(aws_byte_buf_is_valid(&buffer3)); | assert(aws_byte_buf_is_valid(&dest));","length_invariant","length_invariant","","error path: capacity-space < total","",""
"P065","aws_array_list_pop_back","removes and optionally returns the last element","list.length == old.length - 1","assert(list.length == old.length - 1); | assert(list.data); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(aws_array_list_is_valid(&list));","frame_condition","length_invariant","YES","length DELTA = -1 after pop; auto says frame_condition but it's a length change","",""
"P066","aws_array_list_pop_back","removes and optionally returns the last element","list.data","assert(list.length == old.length - 1); | assert(list.data); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(aws_array_list_is_valid(&list));","validity_predicate","validity_predicate","","list.data non-null after pop","",""
"P067","aws_array_list_pop_back","removes and optionally returns the last element","list.alloc == old.alloc","assert(list.length == old.length - 1); | assert(list.data); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(aws_array_list_is_valid(&list));","frame_condition","frame_condition","","alloc == old.alloc: unchanged","",""
"P068","aws_array_list_pop_back","removes and optionally returns the last element","list.current_size == old.current_size","assert(list.length == old.length - 1); | assert(list.data); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(aws_array_list_is_valid(&list));","frame_condition","frame_condition","","current_size unchanged","",""
"P069","aws_array_list_pop_back","removes and optionally returns the last element","list.item_size == old.item_size","assert(list.length == old.length - 1); | assert(list.data); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(aws_array_list_is_valid(&list));","frame_condition","frame_condition","","item_size unchanged","",""
"P070","aws_byte_buf_append","appends bytes from cursor into a byte buffer","old_to.len == to.len","assert(to.len == to_old.len + from.len); | assert(to_old.len == to.len); | assert(aws_byte_buf_is_valid(&to)); | assert(aws_byte_cursor_is_valid(&from)); | assert(to_old.allocator == to.allocator); | assert(to_old.capacity == to.capacity); | assert(from_old.len == from.len);","frame_condition","frame_condition","","old_to.len == to.len: len snapshot unchanged (pre-call)","",""
"P071","aws_byte_buf_append","appends bytes from cursor into a byte buffer","old_to.allocator == to.allocator","assert(to.len == to_old.len + from.len); | assert(to_old.len == to.len); | assert(aws_byte_buf_is_valid(&to)); | assert(aws_byte_cursor_is_valid(&from)); | assert(to_old.allocator == to.allocator); | assert(to_old.capacity == to.capacity); | assert(from_old.len == from.len);","frame_condition","frame_condition","","allocator unchanged","",""
"P072","aws_byte_buf_append","appends bytes from cursor into a byte buffer","old_to.capacity == to.capacity","assert(to.len == to_old.len + from.len); | assert(to_old.len == to.len); | assert(aws_byte_buf_is_valid(&to)); | assert(aws_byte_cursor_is_valid(&from)); | assert(to_old.allocator == to.allocator); | assert(to_old.capacity == to.capacity); | assert(from_old.len == from.len);","frame_condition","frame_condition","","capacity unchanged by append","",""
"P073","aws_byte_buf_append","appends bytes from cursor into a byte buffer","old_from.len == from.len","assert(to.len == to_old.len + from.len); | assert(to_old.len == to.len); | assert(aws_byte_buf_is_valid(&to)); | assert(aws_byte_cursor_is_valid(&from)); | assert(to_old.allocator == to.allocator); | assert(to_old.capacity == to.capacity); | assert(from_old.len == from.len);","frame_condition","frame_condition","","from buffer not modified by append","",""
"P074","aws_array_list_clear","aws array list clear","aws_array_list_is_valid(&_arg_)","assert(aws_array_list_is_valid(&list)); | assert(list.length == 0); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(list.data == old.data);","validity_predicate","validity_predicate","","named validity predicate","",""
"P075","aws_array_list_clear","aws array list clear","list.length == 0","assert(aws_array_list_is_valid(&list)); | assert(list.length == 0); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(list.data == old.data);","length_invariant","length_invariant","","length == 0 after clear","",""
"P076","aws_array_list_clear","aws array list clear","list.alloc == old.alloc","assert(aws_array_list_is_valid(&list)); | assert(list.length == 0); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(list.data == old.data);","frame_condition","frame_condition","","alloc unchanged","",""
"P077","aws_array_list_clear","aws array list clear","list.current_size == old.current_size","assert(aws_array_list_is_valid(&list)); | assert(list.length == 0); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(list.data == old.data);","frame_condition","frame_condition","","current_size unchanged","",""
"P078","aws_array_list_clear","aws array list clear","list.item_size == old.item_size","assert(aws_array_list_is_valid(&list)); | assert(list.length == 0); | assert(list.alloc == old.alloc); | assert(list.current_size == old.current_size); | assert(list.item_size == old.item_size); | assert(list.data == old.data);","frame_condition","frame_condition","","item_size unchanged","",""
"P079","aws_array_list_init_dynamic","aws array list init dynamic","list.alloc == allocator","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == allocator); | assert(list.item_size == item_size); | assert(list.length == 0); | assert(list.current_size == item_size * initial_item_allocation); | assert(AWS_IS_ZEROED(list));","frame_condition","validity_predicate","YES","alloc SET TO input allocator; auto says frame, but field was initialized","",""
"P080","aws_array_list_init_dynamic","aws array list init dynamic","list.current_size == item_size * initial_item_allocation","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == allocator); | assert(list.item_size == item_size); | assert(list.length == 0); | assert(list.current_size == item_size * initial_item_allocation); | assert(AWS_IS_ZEROED(list));","length_invariant","length_invariant","","current_size = item_size * initial_allocation","",""
"P081","aws_array_list_init_dynamic","aws array list init dynamic","aws_is_zeroed(list)","assert(aws_array_list_is_valid(&list)); | assert(list.alloc == allocator); | assert(list.item_size == item_size); | assert(list.length == 0); | assert(list.current_size == item_size * initial_item_allocation); | assert(AWS_IS_ZEROED(list));","validity_predicate","validity_predicate","","zero-init check","",""
"P082","aws_byte_buf_advance","aws byte buf advance","buf.len == old.len + len","assert(buf.len == old.len + len); | assert(buf.capacity == old.capacity); | assert(buf.allocator == old.allocator); | assert(output.len == 0); | assert(output.capacity == len); | assert(output.allocator == NULL); | assert(output.len == 0); | assert(output.capacity == 0);","length_invariant","length_invariant","","len = old.len + advance_amount","",""
"P083","aws_byte_buf_advance","aws byte buf advance","buf.capacity == old.capacity","assert(buf.len == old.len + len); | assert(buf.capacity == old.capacity); | assert(buf.allocator == old.allocator); | assert(output.len == 0); | assert(output.capacity == len); | assert(output.allocator == NULL); | assert(output.len == 0); | assert(output.capacity == 0);","frame_condition","frame_condition","","capacity unchanged","",""
"P084","aws_byte_buf_advance","aws byte buf advance","buf.allocator == old.allocator","assert(buf.len == old.len + len); | assert(buf.capacity == old.capacity); | assert(buf.allocator == old.allocator); | assert(output.len == 0); | assert(output.capacity == len); | assert(output.allocator == NULL); | assert(output.len == 0); | assert(output.capacity == 0);","frame_condition","frame_condition","","allocator unchanged","",""
"P085","aws_byte_buf_clean_up_secure","aws byte buf clean up secure","buf.allocator == null","assert(buf.allocator == NULL); | assert(buf.buffer == NULL); | assert(buf.len == 0); | assert(buf.capacity == 0);","frame_condition","validity_predicate","YES","allocator ZEROED after cleanup; auto says frame, but it was set to null","",""
"P086","aws_byte_buf_init_copy","aws byte buf init copy","allocator check failed","assert(aws_byte_buf_is_valid(dest)); | assert(aws_byte_buf_has_allocator(dest)); | assert(dest->len == src.len); | assert(dest->capacity == src.capacity); | assert(aws_byte_buf_is_valid(&src));","frame_condition","validity_predicate","","allocator parameter check","",""
"P087","aws_byte_buf_init_copy","aws byte buf init copy","dest check failed","assert(aws_byte_buf_is_valid(dest)); | assert(aws_byte_buf_has_allocator(dest)); | assert(dest->len == src.len); | assert(dest->capacity == src.capacity); | assert(aws_byte_buf_is_valid(&src));","validity_predicate","validity_predicate","","dest pointer check","",""
"P088","aws_byte_buf_init_copy","aws byte buf init copy","aws_byte_buf_is_valid(dest)","assert(aws_byte_buf_is_valid(dest)); | assert(aws_byte_buf_has_allocator(dest)); | assert(dest->len == src.len); | assert(dest->capacity == src.capacity); | assert(aws_byte_buf_is_valid(&src));","validity_predicate","validity_predicate","","named validity predicate","",""
"P089","aws_byte_buf_init_copy","aws byte buf init copy","aws_byte_buf_has_allocator(dest)","assert(aws_byte_buf_is_valid(dest)); | assert(aws_byte_buf_has_allocator(dest)); | assert(dest->len == src.len); | assert(dest->capacity == src.capacity); | assert(aws_byte_buf_is_valid(&src));","frame_condition","validity_predicate","YES","named predicate has_allocator; auto says frame","",""
"P090","aws_byte_buf_init_copy","aws byte buf init copy","dest.len == src.len","assert(aws_byte_buf_is_valid(dest)); | assert(aws_byte_buf_has_allocator(dest)); | assert(dest->len == src.len); | assert(dest->capacity == src.capacity); | assert(aws_byte_buf_is_valid(&src));","length_invariant","length_invariant","","dest.len == src.len after copy","",""
"P091","aws_linked_list_swap_contents","swaps all contents between two linked lists","list check failed","assert(aws_linked_list_is_valid(&a)); | assert(aws_linked_list_is_valid(&b)); | assert(old_b.tail.prev == old_b_head); | assert(a.head.next == old_b.head.next); | assert(a.tail.prev == old_b.tail.prev); | assert(old_a.tail.prev == old_a_head); | assert(b.head.next == old_a.head.next); | assert(b.tail.prev == old_a.tail.prev);","validity_predicate","validity_predicate","","list parameter check","",""
