id,func,property_text,property_kind,gt_harness_snippet,info_source,reasoning,category_label,notes
P011,aws_linked_list_push_back,aws_linked_list_node_prev_is_valid(&_arg_),assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/linked_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_linked_list_push_back_harness() {
    /* data structure */
    struct aws_linked_list list;
    struct aws_linked_list_node to_add;

    ensure_linked_list_is_allocated(&list, MAX_LINKED_LIST_ITEM_ALLOCATION);

    /* Keep the old last node of the linked list */
    struct aws_linked_list_node *old_last = list.tail.prev;

    /* perform operation under verification */
    aws_linked_list_push_back(&list, &to_add);

    /* assertions */
    assert(aws_linked_list_is_valid(&list));
    assert(aws_linked_list_node_prev_is_valid(&to_add));
    assert(aws_linked_list_node_next_i",,,,
P012,aws_linked_list_push_back,aws_linked_list_node_next_is_valid(&_arg_),assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/linked_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_linked_list_push_back_harness() {
    /* data structure */
    struct aws_linked_list list;
    struct aws_linked_list_node to_add;

    ensure_linked_list_is_allocated(&list, MAX_LINKED_LIST_ITEM_ALLOCATION);

    /* Keep the old last node of the linked list */
    struct aws_linked_list_node *old_last = list.tail.prev;

    /* perform operation under verification */
    aws_linked_list_push_back(&list, &to_add);

    /* assertions */
    assert(aws_linked_list_is_valid(&list));
    assert(aws_linked_list_node_prev_is_valid(&to_add));
    assert(aws_linked_list_node_next_i",,,,
P013,aws_linked_list_push_back,list.tail.prev == &to_add,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/linked_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_linked_list_push_back_harness() {
    /* data structure */
    struct aws_linked_list list;
    struct aws_linked_list_node to_add;

    ensure_linked_list_is_allocated(&list, MAX_LINKED_LIST_ITEM_ALLOCATION);

    /* Keep the old last node of the linked list */
    struct aws_linked_list_node *old_last = list.tail.prev;

    /* perform operation under verification */
    aws_linked_list_push_back(&list, &to_add);

    /* assertions */
    assert(aws_linked_list_is_valid(&list));
    assert(aws_linked_list_node_prev_is_valid(&to_add));
    assert(aws_linked_list_node_next_i",,,,
P014,aws_linked_list_push_back,to_add.prev == old_last,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/linked_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_linked_list_push_back_harness() {
    /* data structure */
    struct aws_linked_list list;
    struct aws_linked_list_node to_add;

    ensure_linked_list_is_allocated(&list, MAX_LINKED_LIST_ITEM_ALLOCATION);

    /* Keep the old last node of the linked list */
    struct aws_linked_list_node *old_last = list.tail.prev;

    /* perform operation under verification */
    aws_linked_list_push_back(&list, &to_add);

    /* assertions */
    assert(aws_linked_list_is_valid(&list));
    assert(aws_linked_list_node_prev_is_valid(&to_add));
    assert(aws_linked_list_node_next_i",,,,
P015,aws_add_size_saturating,r == uint64_max,assertion,,,,,
P016,aws_add_size_saturating,r == a + b,assertion,,,,,
P017,aws_add_size_saturating,r == uint32_max,assertion,,,,,
P018,aws_add_size_saturating,r == a + b,assertion,,,,,
P019,aws_mul_size_checked,"__cprover_overflow_mult(a, b)",assertion,,,,,
P020,aws_mul_size_checked,"__cprover_overflow_mult(a, b)",assertion,,,,,
P021,aws_mul_size_saturating,r == uint64_max,assertion,,,,,
P022,aws_mul_size_saturating,r == a * b,assertion,,,,,
P023,aws_mul_size_saturating,r == uint32_max,assertion,,,,,
P024,aws_mul_size_saturating,r == a * b,assertion,,,,,
P025,aws_is_power_of_two,rval == (popcount == 1),assertion,,,,,
P026,aws_round_up_to_power_of_two,popcount == 1,assertion,,,,,
P027,aws_round_up_to_power_of_two,test_val <= result,assertion,,,,,
P028,aws_round_up_to_power_of_two,test_val >= result >> 1,assertion,,,,,
P029,aws_round_up_to_power_of_two,test_val > ((size_max >> 1) + 1),assertion,,,,,
P030,aws_byte_buf_secure_zero,buf.len == 0,assertion,,,,,
P031,aws_byte_buf_reset,buf.allocator == old.allocator,assertion,,,,,
P032,aws_byte_buf_reset,buf.buffer == old.buffer,assertion,,,,,
P033,aws_byte_buf_reset,buf.capacity == old.capacity,assertion,,,,,
P034,aws_byte_buf_from_array,buf.len == length,assertion,,,,,
P035,aws_byte_buf_from_array,buf.capacity == length,assertion,,,,,
P036,aws_byte_buf_from_empty_array,buf.capacity == capacity,assertion,,,,,
P037,aws_byte_cursor_advance,rv.ptr == null,assertion,,,,,
P038,aws_byte_cursor_advance,rv.len == 0,assertion,,,,,
P039,aws_byte_cursor_advance,rv.ptr == old.ptr,assertion,,,,,
P040,aws_byte_cursor_advance,rv.len == len,assertion,,,,,
P041,aws_byte_cursor_advance,cursor.ptr == old.ptr + len,assertion,,,,,
P042,aws_array_list_front,"aws_bytes_eq(val, list.data, list.item_size)",assertion,,,,,
P043,aws_array_list_front,list.data,assertion,,,,,
P044,aws_array_list_front,list.length,assertion,,,,,
P045,aws_array_list_clear,list.alloc == old.alloc,assertion,,,,,
P046,aws_array_list_clear,list.current_size == old.current_size,assertion,,,,,
P047,aws_array_list_clear,list.item_size == old.item_size,assertion,,,,,
P048,aws_array_list_clear,list.data == old.data,assertion,,,,,
P049,aws_array_list_pop_back,list.length == old.length - 1,assertion,,,,,
P050,aws_array_list_pop_back,list.data,assertion,,,,,
P051,aws_array_list_pop_back,list.alloc == old.alloc,assertion,,,,,
P052,aws_array_list_pop_back,list.current_size == old.current_size,assertion,,,,,
P053,aws_array_list_pop_back,list.item_size == old.item_size,assertion,,,,,
P054,aws_array_list_push_back,list.length == old.length + 1,assertion,,,,,
P055,aws_array_list_get_at,list.data,assertion,,,,,
P056,aws_array_list_get_at,list.length > index,assertion,,,,,
P057,aws_linked_list_push_front,aws_linked_list_node_prev_is_valid(&_arg_),assertion,,,,,
P058,aws_linked_list_push_front,aws_linked_list_node_next_is_valid(&_arg_),assertion,,,,,
P059,aws_linked_list_push_front,list.head.next == &to_add,assertion,,,,,
P060,aws_linked_list_push_front,to_add.next == old_first,assertion,,,,,
P061,aws_linked_list_pop_back,ret.next == null && ret.prev == null,assertion,,,,,
P062,aws_linked_list_pop_back,list.tail.prev == old_prev_last,assertion,,,,,
P063,aws_linked_list_pop_front,ret.next == null && ret.prev == null,assertion,,,,,
P064,aws_linked_list_pop_front,list.head.next == old_next_first,assertion,,,,,
P065,aws_linked_list_node_reset,aws_is_zeroed(node),assertion,,,,,
P066,aws_array_eq,lhs_len == rhs_len,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/byte_buf.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_eq_harness() {
    /* assumptions */
    size_t lhs_len;
    __CPROVER_assume(lhs_len <= MAX_BUFFER_SIZE);
    void *lhs = malloc(lhs_len);

    void *rhs;
    size_t rhs_len;
    if (nondet_bool()) { /* rhs could be equal to lhs */
        rhs_len = lhs_len;
        rhs = lhs;
    } else {
        __CPROVER_assume(rhs_len <= MAX_BUFFER_SIZE);
        rhs = malloc(rhs_len);
    }

    /* save current state of the parameters */
    struct store_byte_from_buffer old_byte_from_lhs;
    save_byte_from_array((uint8_t *)lhs, lhs_len, &old_byte_from_lhs);
    struct store_byte_",,,,
P067,aws_array_eq_c_str,array_len == str_len,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/byte_buf.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_eq_c_str_harness() {
    /* assumptions */
    void *array;
    size_t array_len;
    __CPROVER_assume(array_len <= MAX_BUFFER_SIZE);
    array = malloc(array_len);
    const char *c_str = ensure_c_str_is_allocated(MAX_BUFFER_SIZE);

    /* save current state of the parameters */
    struct store_byte_from_buffer old_byte_from_array;
    save_byte_from_array((uint8_t *)array, array_len, &old_byte_from_array);
    size_t str_len = (c_str != NULL) ? strlen(c_str) : 0;
    struct store_byte_from_buffer old_byte_from_str;
    save_byte_from_array((uint8_t *)c_str, str_len, &",,,,
P068,aws_array_list_clean_up,aws_is_zeroed(list),assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 4s
 */
void aws_array_list_clean_up_harness() {
    /* data structure */
    struct aws_array_list list;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* perform operation under verification */
    aws_array_list_clean_up(&list);

    /* assertions */
    assert(AWS_IS_ZEROED(list));
}",,,,
P069,aws_array_list_erase,list.length == old.length - 1,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_list_erase_harness() {
    /* parameters */
    struct aws_array_list list;
    size_t index;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure */
    struct aws_array_list old = list;
    struct store_byte_from_buffer old_byte;
    save_byte_from_array((uint8_t *)list.data, list.current_size, &old_byte);

    /* perform operation under veri",,,,
P070,aws_array_list_erase,list.item_size == old.item_size,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_list_erase_harness() {
    /* parameters */
    struct aws_array_list list;
    size_t index;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure */
    struct aws_array_list old = list;
    struct store_byte_from_buffer old_byte;
    save_byte_from_array((uint8_t *)list.data, list.current_size, &old_byte);

    /* perform operation under veri",,,,
P071,aws_array_list_erase,list.alloc == old.alloc,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_list_erase_harness() {
    /* parameters */
    struct aws_array_list list;
    size_t index;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure */
    struct aws_array_list old = list;
    struct store_byte_from_buffer old_byte;
    save_byte_from_array((uint8_t *)list.data, list.current_size, &old_byte);

    /* perform operation under veri",,,,
P072,aws_array_list_erase,list.current_size == old.current_size,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_list_erase_harness() {
    /* parameters */
    struct aws_array_list list;
    size_t index;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure */
    struct aws_array_list old = list;
    struct store_byte_from_buffer old_byte;
    save_byte_from_array((uint8_t *)list.data, list.current_size, &old_byte);

    /* perform operation under veri",,,,
P073,aws_array_list_erase,index < old.length,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_list_erase_harness() {
    /* parameters */
    struct aws_array_list list;
    size_t index;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure */
    struct aws_array_list old = list;
    struct store_byte_from_buffer old_byte;
    save_byte_from_array((uint8_t *)list.data, list.current_size, &old_byte);

    /* perform operation under veri",,,,
P074,aws_array_list_get_at_ptr,list.data,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 6s
 */
void aws_array_list_get_at_ptr_harness() {
    /* data structure */
    struct aws_array_list list;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));
    void **val = malloc(sizeof(void *));
    size_t index;

    /* save current state of the data structure */
    struct aws_array_list old = list;
    struct store_byte_from_buffer old_byte;
    save_byte_from_array((uint8_t *)list.",,,,
P075,aws_array_list_get_at_ptr,list.length > index,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 6s
 */
void aws_array_list_get_at_ptr_harness() {
    /* data structure */
    struct aws_array_list list;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));
    void **val = malloc(sizeof(void *));
    size_t index;

    /* save current state of the data structure */
    struct aws_array_list old = list;
    struct store_byte_from_buffer old_byte;
    save_byte_from_array((uint8_t *)list.",,,,
P076,aws_array_list_init_dynamic,list.alloc == allocator,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 6s
 */
void aws_array_list_init_dynamic_harness() {
    /* data structure */
    struct aws_array_list list; /* Precondition: list is non-null */

    /* parameters */
    struct aws_allocator *allocator = aws_default_allocator(); /* Precondition: allocator is non-null */
    size_t item_size;
    size_t initial_item_allocation;

    /* assumptions */
    __CPROVER_assume(initial_item_allocation <= MAX_INITIAL_ITEM_ALLOCATION);
    __CPROVER_assume(item_size > 0 && item_size <= MAX_ITEM_SIZE);

    /* perform operation under verification */
    if (aws_array_list_init",,,,
P077,aws_array_list_init_dynamic,list.current_size == item_size * initial_item_allocation,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 6s
 */
void aws_array_list_init_dynamic_harness() {
    /* data structure */
    struct aws_array_list list; /* Precondition: list is non-null */

    /* parameters */
    struct aws_allocator *allocator = aws_default_allocator(); /* Precondition: allocator is non-null */
    size_t item_size;
    size_t initial_item_allocation;

    /* assumptions */
    __CPROVER_assume(initial_item_allocation <= MAX_INITIAL_ITEM_ALLOCATION);
    __CPROVER_assume(item_size > 0 && item_size <= MAX_ITEM_SIZE);

    /* perform operation under verification */
    if (aws_array_list_init",,,,
P078,aws_array_list_init_dynamic,aws_is_zeroed(list),assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 6s
 */
void aws_array_list_init_dynamic_harness() {
    /* data structure */
    struct aws_array_list list; /* Precondition: list is non-null */

    /* parameters */
    struct aws_allocator *allocator = aws_default_allocator(); /* Precondition: allocator is non-null */
    size_t item_size;
    size_t initial_item_allocation;

    /* assumptions */
    __CPROVER_assume(initial_item_allocation <= MAX_INITIAL_ITEM_ALLOCATION);
    __CPROVER_assume(item_size > 0 && item_size <= MAX_ITEM_SIZE);

    /* perform operation under verification */
    if (aws_array_list_init",,,,
P079,aws_array_list_init_static,list.current_size == initial_item_allocation * item_size,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 7s
 */
void aws_array_list_init_static_harness() {
    /* data structure */
    struct aws_array_list list; /* Precondition: list is non-null */

    /* parameters */
    size_t item_size;
    size_t initial_item_allocation;
    size_t len;

    /* assumptions */
    __CPROVER_assume(initial_item_allocation > 0 && initial_item_allocation <= MAX_INITIAL_ITEM_ALLOCATION);
    __CPROVER_assume(item_size > 0 && item_size <= MAX_ITEM_SIZE);
    __CPROVER_assume(!aws_mul_size_checked(initial_item_allocation, item_size, &len));

    /* perform operation under verification */",,,,
P080,aws_array_list_pop_front,list.length == old.length - 1,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 9s
 */
void aws_array_list_pop_front_harness() {
    /* data structure */
    struct aws_array_list list;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure */
    struct aws_array_list old = list;
    struct store_byte_from_buffer old_byte;
    save_byte_from_array((uint8_t *)list.data, list.current_size, &old_byte);

    /* perform operati",,,,
P081,aws_array_list_pop_front,list.data,assertion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 9s
 */
void aws_array_list_pop_front_harness() {
    /* data structure */
    struct aws_array_list list;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure */
    struct aws_array_list old = list;
    struct store_byte_from_buffer old_byte;
    save_byte_from_array((uint8_t *)list.data, list.current_size, &old_byte);

    /* perform operati",,,,
